Category,Name,Description,URL,Image URL,Landing Page URL
Development,Hacker Newsletter,"The best articles on startups, technology, programming, and more.",https://inboxreads.co/n/hacker-newsletter,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1727207675102-450094502.jpg?tr=w-600,f-webp",../l/newsletter/hacker-newsletter?source=newsletter-details
Development,Android Weekly,Get new Android development news each week,https://inboxreads.co/n/android-weekly,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727466128362-169029437.jpg?tr=w-600,f-webp",../l/newsletter/android-weekly?source=newsletter-details
Development,The Real Python Newsletter,Weekly Programming and Career Tips for Python Devs,https://inboxreads.co/n/the-real-python-newsletter,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1727211467102-758879758.jpg?tr=w-600,f-webp",../l/newsletter/the-real-python-newsletter?source=newsletter-details
Development,ByteByteGo Newsletter,Explain complex systems with simple terms,https://inboxreads.co/n/bytebytego-newsletter,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1727204782342-522953554.jpg?tr=w-600,f-webp",../l/newsletter/bytebytego-newsletter?source=newsletter-details
Development,The Smashing Email Newsletter,Useful tips & tricks for designers and developers.,https://inboxreads.co/n/the-smashing-email-newsletter,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1727208333639-67738355.jpg?tr=w-600,f-webp",../l/newsletter/the-smashing-email-newsletter?source=newsletter-details
Development,Frontend Focus,"The best front-end news, articles and tutorials",https://inboxreads.co/n/frontend-focus,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1727211711455-340075406.jpg?tr=w-600,f-webp",../l/newsletter/frontend-focus?source=newsletter-details
Development,Javascript Weekly,Round-up of JavaScript news and articles,https://inboxreads.co/n/javascript-weekly,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1727210808107-939962060.jpg?tr=w-600,f-webp",../l/newsletter/javascript-weekly?source=newsletter-details
Development,React Native Newsletter,A curated newsletter all about React Native,https://inboxreads.co/n/react-native-newsletter,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1727205823953-571734195.jpg?tr=w-600,f-webp",../l/newsletter/react-native-newsletter?source=newsletter-details
Development,Gamedev.js Weekly,HTML5 Game Development News,https://inboxreads.co/n/gamedevjs-weekly,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1727200345528-413533211.jpg?tr=w-600,f-webp",../l/newsletter/gamedevjs-weekly?source=newsletter-details
Development,Pycoder's Weekly,Python development & various topics around python,https://inboxreads.co/n/pycoder's-weekly,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727340726651-634325443.jpg?tr=w-600,f-webp",../l/newsletter/pycoder's-weekly?source=newsletter-details
Development,SitePoint Weekly Newsletter,The freshest news & resources for developers,https://inboxreads.co/n/sitepoint-weekly-newsletter,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1727210537699-224254756.jpg?tr=w-600,f-webp",../l/newsletter/sitepoint-weekly-newsletter?source=newsletter-details
Development,Web Development Reading List,Handcrafted links for a web developer’s life,https://inboxreads.co/n/web-development-reading-list,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1727211662561-847658849.jpg?tr=w-600,f-webp",../l/newsletter/web-development-reading-list?source=newsletter-details
Development,Web Tools Weekly,A weekly round-up for front-end developers,https://inboxreads.co/n/web-tools-weekly,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1727200611490-606545101.jpg?tr=w-600,f-webp",../l/newsletter/web-tools-weekly?source=newsletter-details
Development,Game Dev Digest,The Newsletter About Unity Game Dev,https://inboxreads.co/n/game-dev-digest,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727289962224-748792377.jpg?tr=w-600,f-webp",../l/newsletter/game-dev-digest?source=newsletter-details
Development,Hacker News Digest,"The top Hacker News stories in your inbox, daily.",https://inboxreads.co/n/hacker-news-digest,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1727210614708-477854613.jpg?tr=w-600,f-webp",../l/newsletter/hacker-news-digest?source=newsletter-details
Development,No CS Degree,Jobs for self-taught and bootcamp developers,https://inboxreads.co/n/no-cs-degree,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1727211516682-936857697.jpg?tr=w-600,f-webp",../l/newsletter/no-cs-degree?source=newsletter-details
Development,Awesome Android,"Popular Android news, articles and packages.",https://inboxreads.co/n/awesome-android-newsletter,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727466320512-655738585.jpg?tr=w-600,f-webp",../l/newsletter/awesome-android-newsletter?source=newsletter-details
Development,React.js Newsletter,The best React news & more.,https://inboxreads.co/n/react.js-newsletter,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1727209206553-425269273.jpg?tr=w-600,f-webp",../l/newsletter/react.js-newsletter?source=newsletter-details
Development,DevOps Bulletin,Latest DevOps trends in your inbox every week,https://inboxreads.co/n/devops-bulletin,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1727211492427-530483110.jpg?tr=w-600,f-webp",../l/newsletter/devops-bulletin?source=newsletter-details
Development,GraphQL Weekly,The best content from the GraphQL community,https://inboxreads.co/n/graphql-weekly,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1727211333310-950921006.jpg?tr=w-600,f-webp",../l/newsletter/graphql-weekly?source=newsletter-details
Development,CSS Weekly,"Roundup of css articles, tutorials, and more",https://inboxreads.co/n/css-weekly,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727468243635-934691155.jpg?tr=w-600,f-webp",../l/newsletter/css-weekly?source=newsletter-details
Development,Frontend Weekly,Weekly Frontend Dev Links,https://inboxreads.co/n/frontend-weekly,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727467964815-332540081.jpg?tr=w-600,f-webp",../l/newsletter/frontend-weekly?source=newsletter-details
